title,field,sales_point
신경다양성 교실 : 단 한 명도 놓치지 않는 통합교육의 시작,사회과학,"2,354"
아이를 함께 키울 온 마을은 어떻게 만들어야 할까? : 육아공동체 어린이뜨락과 조력자 소셜페다고그,사회과학,75
"아픈 이의 곁에 있다는 것 : 살면서 누구나 돌보는 이가 되고, 또 아픈 이가 된다",사회과학,527
악마는 꼴찌부터 잡아먹는다 : 구글러가 들려주는 알기 쉬운 경제학 이야기,사회과학,260
암밍아웃 : 암이 탄생시킨 새로운 단어들,사회과학,193
애덤 스미스 함께 읽기 : 다시 보는 『도덕감정론』과 『국부론』,사회과학,736
"액체 세대의 삶 : 생명처럼 강하고, 사랑처럼 유동적인",사회과학,576
"어딘가에는 살고 싶은 바다, 섬마을이 있다",사회과학,361
어른에게도 놀이터가 필요하다 : 주은경의 시민교육기획 노트,사회과학,419
언론을 상대하는 법 : 언론사 출신 변호사가 알려 주는 언론 피해자를 위한 법 안내서,사회과학,285
에덴 컬처,사회과학,53
에이징 솔로 : 혼자를 선택한 사람들은 어떻게 나이 드는가,사회과학,"10,995"
"우리 교육, 거장에게 묻다 : 초등 교사들이 쉽고 재미있게 풀어쓴 교육철학 이야기",사회과학,54
우리가 몰랐던 정치 이야기,사회과학,30
우크라이나전쟁과 신세계질서,사회과학,"3,619"
울고 있는 아이에게 말을 걸면,사회과학,"1,300"
유치원 아이들의 학급 자치 이야기,사회과학,428
의외로 사람들이 잘 모르는 정치,사회과학,544
이승만의 위대한 성취,사회과학,38
이해관계자 중심 경영 : 이해관계자 자본주의 시대의 ESG 경영,사회과학,432
인구소멸과 로컬리즘 : 대한민국 지방도시를 살리는 전략과 아이디어,사회과학,"1,844"
인벤션 : 발명의 성공과 실패 그리고 미래를 이야기하다!,사회과학,603
인섹타겟돈,사회과학,769
"일본 중소기업 진화생존기 : 100년 기업의 지혜, DEEP경영",사회과학,199
"일본이 흔들린다 : 경제, 정책, 산업, 인구로 살펴본 일본의 현재와 미래",사회과학,785
임수현의 친절한 사회과학 : 고전 20권 쉽게 읽기,사회과학,151
자연기반해법 : 위기에서 살아남는 현명한 방법,사회과학,266
"전쟁, 혁신, 사람 그리고 전략",사회과학,57
절대적이며 상대적인 리더십의 물리학,사회과학,263
제법 괜찮은 사람이 되어가는 중입니다,사회과학,207
주식유치원에서 배우는 해외주식 기초수업,사회과학,955
지속 불가능한 불평등 : 사회정의와 환경을 위하여,사회과학,"1,668"
지역 매니지먼트 효과와 재원,사회과학,201
"채용 대전환, 학벌 없는 시대가 온다 : 7인의 전문가가 들려주는 채용과 교육에 관한 놀라운 이야기",사회과학,"1,031"
챗GPT 거대한 전환,사회과학,"6,355"
철학이 있는 교실살이 : 힘겨운 교직 삶을 올곧게 꿋꿋이 헤쳐 나가려는 교사를 위한 교실 철학,사회과학,306
최상의 고객경험을 위한 휴먼 커넥션 전략 30,사회과학,198
최초의 죽음 : 신화로 읽는 죽음의 기원,사회과학,256
커뮤니티는 어떻게 브랜드의 무기가 되는가 : 새로운 소비 권력을 찐팬으로 만드는 커뮤니티의 힘,사회과학,"2,029"
코로나가 아이들에게 남긴 상처들,사회과학,887
"패션, 色을 입다 : 10가지 색, 100가지 패션, 1000가지 세계사",사회과학,"1,177"
평등하다는 착각 : 왜 여성의 말에는 권위가 실리지 않는가?,사회과학,"1,770"
포퓰리즘의 정치전쟁 : 종교화된 진영정치,사회과학,114
플랫폼적 사고를 펼쳐라 : 성경과 경영을 연결하는 16가지 이야기,사회과학,22
하룻밤에 다 읽는 경제 에스프레소 금융 : 29가지 흥미로운 이야기로 풀어낸 돈의 역사,사회과학,"1,139"
"한국 경제의 성장, 위기, 미래",사회과학,130
한국 생명운동과 문명전환,사회과학,273
"혁신에 대한 모든 것 : 혁신은 어떻게 탄생하고, 작동하고, 성공하는가",사회과학,"2,087"
환율 비밀 노트,사회과학,751
휴먼 프런티어 : 초연결시대에 생각해보는 거대한 아이디어의 미래,사회과학,315
희생의 리더십,사회과학,10
100년 체력을 위한 달리기 처방전 : 천천히 달리기의 과학,기술과학,"2,842"
"4~7세, 수면을 잘해야 아이가 알아서 공부합니다",기술과학,147
감염병의 역사,기술과학,346
"건축, 300년 : 영감은 어디서 싹트고 도시에 어떻게 스며들었나",기술과학,646
고통의 비밀,기술과학,"14,355"
그림책을 읽다 너의 마음을 보다,기술과학,260
글루코스 혁명,기술과학,"12,420"
김남호의 F1 스토리,기술과학,887
"내 몸의 설계자, 호르몬 이야기",기술과학,837
내 아이를 위한 주의력 수업,기술과학,"6,153"
놓치는 아이 심리 다독이는 부모 마음,기술과학,"1,660"
대한민국 신약개발 성공전략,기술과학,108
땅은 잘못 없다,기술과학,307
"마음의 중심이 무너지다 : 조현병 환자의 우정, 사랑, 그리고 법학 교수가 되기까지의 인생 여정",기술과학,725
미래를 바꾸는 탄소 농업,기술과학,596
부모 마음 상담소,기술과학,123
"불, 에너지, 재료의 역사 : 재료공학자가 들려주는 문명 이야기(1)",기술과학,57
사유 식탁,기술과학,"2,274"
사회적 자립과 자기통제를 키우는 ABA 교육법,기술과학,811
서서히 식물이 좋아집니다,기술과학,590
세균에 이름을 남긴 과학자들 세균과 사람,기술과학,219
세상에서 가장 쉬운 본질육아,기술과학,"25,261"
세상을 바꾼 발명과 혁신 : 피라미드에서 인공지능까지,기술과학,59
식탁 위의 작은 순간들,기술과학,"1,103"
약의 인문학,기술과학,183
어린이집 대신 완벽한 엄마 품 놀이터,기술과학,174
"에너지 전문가가 들려주는 에너지 에세이 세상을 움직이는 힘, 에너지",기술과학,161
우리가 바다에 버린 모든 것,기술과학,375
우리는 1형당뇨를 선택하지 않았습니다,기술과학,924
우리술 익스프레스,기술과학,"1,140"
이상한 나라의 모자장수는 왜 미쳤을까,기술과학,"1,160"
"인간이 만든 물질, 물질이 만든 인간",기술과학,855
인공지능과 뇌는 어떻게 생각하는가,기술과학,"2,060"
전기자동차가 다시 왔다?!,기술과학,729
정원의 기억,기술과학,720
조선미의 현실 육아 상담소,기술과학,"17,559"
주말엔 여섯 평 농막으로 갑니다 : 조금 별난 변호사의 농막사용설명서,기술과학,"1,899"
"지랄발광 사춘기, 흔들리는 사십춘기",기술과학,767
초등학생이 좋아하는 동화책 200,기술과학,"3,045"
한국 술 열전 : 유니콘 양조장 발굴기,기술과학,239
화성탐사선을 탄 걸리버 : 곽재식이 들려주는 고전과 과학 이야기,기술과학,634
NFT Art : 그 무엇으로도 대체 불가능한 예술,예술,247
THE CERAMICS,예술,36
TV 세트 디자인의 세계 : MBC 미술감독 정종훈의 35년 작업 모음집,예술,47
게임 : 행위성의 예술,예술,"4,545"
관조,예술,89
"그 사람을 가졌는가 : 오늘, 옛 그림 속의 성현들에게 지혜를 청하다",예술,37
그림책 보는 기쁨,예술,"1,337"
나의 일본미술 순례(1) : 일본 근대미술의 이단자들,예술,"1,079"
니 얼굴 : 은혜씨 그림집,예술,829
"동아시아 미술, 젠더Gender로 읽다 : 한중일 여성을 생각하는 11개의 시선",예술,421
디자이너의 일상과 실천,예술,"5,423"
"문자, 미를 탐하다 : 동아시아 문자예술의 미학",예술,315
"빛과 바람의 그림, 고려불화 : 고려불화 도상에 담긴 이야기",예술,465
산수와 풍경의 세계 : 7명의 고전과 7명의 선구,예술,284
살고 싶다면 웨이트,예술,612
색을 찍는 사진관,예술,"1,292"
생생하게 살아 있는 캐릭터 만드는 법 : 심리학으로 풀어낸 개성 넘치는 캐릭터 창작법,예술,"2,956"
서양 코스튬 연대기,예술,516
수학이 사랑한 음악 : 고대부터 AI 음악까지 음악사와 기술사의 교양서,예술,"1,373"
시네 아프리카 : 영화로 읽는 아프리카 문화,예술,10
어제의 영화. 오늘의 감독. 내일의 대화. : 민용준 인터뷰집,예술,599
오랜 시간 멋진 유행가 365 : 시대와 유행을 만든 노래들,예술,139
"음악인류학자의 케이팝하기 : 대중음악, 팬덤, 그리고 정체성",예술,310
일본 현대 디자인사,예술,433
일요일의 음악실 : 우리가 음악으로 연결되는 쉰두 번의 음악 수업,예술,"3,317"
젬스톤 : 매혹의 컬러,예술,"1,219"
쫌 이상한 체육 시간 : 아는 만큼 재미있는 스포츠 인문학,예술,"1,490"
팔공산,예술,45
표구의 사회사 : 기록되지 않았던 미술 이야기,예술,545
피아노 시작하는 법 : 새로운 나를 발견하는 기쁨,예술,"3,029"
한국 구축주의의 기원 : 1920~30년대 김복진과 이상,예술,225
한밤중의 꽃향기,예술,515
할머니체조대회,예술,330
화가가 사랑한 나무들,예술,"6,697"
100개의 키워드로 읽는 한국 아동청소년문학,문학,"1,213"
갑신의 거 : 역사 소재 희곡 모음,문학,21
경주산책 : 삼화령에서 내려오다,문학,72
고자질하는 그림자,문학,10
"공간, 시대를 기억하다 : 사회적 아픔 너머 희망의 다크 투어리즘",문학,343
그 오월의 딸기,문학,"1,546"
그러면 치킨도 안 먹어요?,문학,102
나는 까마귀,문학,"2,043"
나무와 돌과 어떤 것,문학,948
나무의 귓속말이 떨어져 새들의 식사가 되었다,문학,373
나의 꼬마 선생님,문학,234
"나의 비타, 나의 버지니아",문학,799
나의 열여섯 살을 지켜준 책들,문학,747
내일은 또 다른 날,문학,392
누가 뭐라든 너는 소중한 존재,문학,844
누가 뭐라든 당신 꽃을 피워 봐요,문학,197
눈물을 심어본 적 있는 당신에게,문학,646
다이브,문학,"5,916"
돌봄과 작업 : 나를 잃지 않고 엄마가 되려는 여자들,문학,"4,536"
"돌섬, 바다의 노래 Dokdo, the Isle of Rocky Waves",문학,235
마지막 서커스,문학,251
미물일기,문학,318
박용래 시전집,문학,838
박제사의 사랑,문학,201
방어가 제철,문학,619
별일 아닌데 뿌듯합니다,문학,468
빈집,문학,"1,674"
빗소리 듣기 모임,문학,115
"사계절 취미 잡화점, 호비클럽으로 오세요",문학,738
사춘기라는 우주,문학,"1,333"
시간의 다락 : 읽히지 않는 책들에게,문학,342
아무도 모를 것이다,문학,"1,883"
아빠가 엄마야,문학,"3,684"
알고 보면 반할 꽃시 : 한시로 읽는 우리 꽃 이야기,문학,"1,992"
알바니아 의자,문학,57
야버즈,문학,70
언더스토리,문학,"1,329"
온난한 날들,문학,317
우리는 농담이(아니)야,문학,"5,829"
원대 산곡선집,문학,41
"이 편지는 제주도로 가는데, 저는 못 가는군요",문학,561
일상은 얼마나 가볍고 또 무거운가,문학,439
첫사랑 49.5℃,문학,633
툰드라,문학,"4,073"
파도,문학,"3,840"
평안도 이야기 : 한국 근대 문학 기행,문학,505
푸른 수염의 방,문학,789
푸른 숨,문학,"1,277"
프로젝트 브이,문학,629
함경도 이야기 : 한국 근대 문학 기행,문학,470
