title,field,sales_point
시와 철학의 융합교육론,사회과학,63
식민지 조선 불취학자들의 배움 : 야학경험자의 구술사를 토대로,사회과학,98
식민지조선과 법사상,사회과학,86
신간회의 교육운동,사회과학,25
아나키즘: 자율적인 개인들의 협력적 공동체,사회과학,76
아동돌봄은 정치적인가?,사회과학,18
아이의 눈으로 誨人探究: 그랭이 수업과 맞춤형 교육,사회과학,289
애덤 스미스와 칼 마르크스가 묻고 답하다,사회과학,495
오늘이 온다 : 제헌국회 회의록 속의 건국,사회과학,298
온라인 플랫폼 경제학,사회과학,21
우리들의 민주주의,사회과학,"24,230"
웰다잉을 위한 호스피스 실천론,사회과학,165
유럽법약사 : A Short History of European Law,사회과학,278
유아교사가 알아야 할 인공지능의 모든 것,사회과학,305
"이미 언제나 잡종이었던 우리 : 이주, 난민, 혼종",사회과학,44
이민정책론,사회과학,524
이해사회학,사회과학,"1,920"
인격과 세계관,사회과학,182
인공지능 시대 인간의 조건 : 플랫폼과 알고리즘으로 지배하는 인지자본주의의 현재,사회과학,743
인공지능과 알고리듬 사회,사회과학,218
인디오의 변덕스러운 혼 : 16세기 브라질에서 가톨릭과 식인의 만남,사회과학,"1,233"
읽기 격차의 해소,사회과학,361
자본의 무의식 : 자본주의의 꿈과 한민족 공동체를 향한 욕망,사회과학,369
장애인 평생교육의 이해,사회과학,105
전염병의 지리학 : 병은 어떻게 세계를 습격하는가,사회과학,430
전환의 시대의 일과 삶 그리고 학습,사회과학,75
절망을 그리다,사회과학,47
정부규제와 중소기업 기술혁신 : 이론과 실제,사회과학,44
정서 학설 2 : 역사-심리학적 연구,사회과학,114
정치학적 계몽 : 루만의 체계이론적 정치사회학,사회과학,163
제조기업 생존 키워드! 스마트팩토리,사회과학,102
제주 도구 : 섬땅의 삶을 일군 지혜,사회과학,104
젠더와 법,사회과학,82
조사방법론 : 연구경험의 공유,사회과학,109
조선후기 읍지편찬의 계보,사회과학,75
조직 효율성 진단과 평가 - DEA & AHP : 우리 조직은 효율적으로 운영되고 있는가?,사회과학,84
좋은 부모되기를 위한 예비부모교육,사회과학,21
중국식 현대화와 시진핑 리더십 : 중국공산당 제20차 전국대표대회 분석,사회과학,448
중국의 통치 체제(1) : 공산당 영도 체제,사회과학,"1,133"
중국의 통치 체제(2) : 공산당 통제 기제,사회과학,842
"지방 소멸 시대의 농촌 교육, 우리가 몰랐던 진실들",사회과학,132
진안군 중평 마을공동체 : 공동체 원형을 찾아서,사회과학,70
참여와 협력의 ESG 모델: 지속가능한 경영을 위한 미래성장 전략,사회과학,40
청소년 문화,사회과학,"1,901"
추석 : 더도 말고 덜도 말고 한가위만 같아라,사회과학,35
"코칭학 : 지평, 실제 그리고 연구",사회과학,252
퀀트의 정석: 현직 퀀트 트레이더가 알려주는 퀀트 투자를 위한 7가지 빌딩블록,사회과학,"1,026"
클라우드 사회과학연구 자동화를 이용한 사회과학 논문 작성하기,사회과학,65
탄소중립도시를 위한 역세권 개발론,사회과학,76
탈냉전시대 아시아의 재구성과 아시아인의 정체성,사회과학,51
통치와 생존의 인구학 : 지피지기의 관점에서,사회과학,64
평화학,사회과학,355
포스트매스미디어 : 연관성 위기에서 초위기로,사회과학,358
포스트코로나 시대의 교육복지안전망 구축방안 : 취약계층아동의 교육불평등 해소를 중심으로,사회과학,42
품질경영 캡스톤디자인,사회과학,32
프레이리에게 변혁의 길을 묻다 : 파울루 프레이리 교육학의 사상적 뿌리,사회과학,769
한국 영어교육 140년사,사회과학,35
"한국경제론 : 성취와 유산, 그리고 도전",사회과학,15
한국사회 불평등과 빈곤 현실,사회과학,85
한국의 언어 민속지 : 경기도 편,사회과학,30
"한국자본시장의 이해 : 기능과 구조, 법제환경",사회과학,110
"한일 여성문학자, 그녀들의 ‘개인-되기’ : 연애 · 성욕 · 광기",사회과학,26
행동 재무론 : 합리적 인간의 비합리적 선택,사회과학,201
행동경제학 강의 노트 3/e : 인문학과 실생활에서 배우는 행동경제학,사회과학,166
행정기관에 의한 수사권 행사,사회과학,37
"혼돈의 글로벌 시대, 공동체주의를 말하다",사회과학,92
회계기준과 세법,사회과학,66
IoT 실습으로 배우는 센서공학,기술과학,457
New 식품공학,기술과학,478
PSIM과 MATLAB을 활용한 전력변환 제어기 설계,기술과학,444
Writing Successful Scientific Papers : A User’s Guide,기술과학,11
간기능검사 돋보기,기술과학,51
"간호, 보건계열 학생을 위한 감염관리학",기술과학,122
건설 디지털 트랜스포메이션,기술과학,73
건전성 예측관리 지식체계 실무가이드,기술과학,124
"구순구개열의 종합적 진단과 치료 : 수술, 언어, 교정치료",기술과학,48
근감소증,기술과학,105
글로벌 음식문화,기술과학,236
기초이론과 함께 하는 영구자석 전동기의 설계,기술과학,18
나는 미래의 병원으로 간다 : 이전 세상에 없던 병원을 꿈꾸다,기술과학,131
내 몸을 살리는 영양과 건강 이야기(3),기술과학,192
내 삶을 바꾸는 설탕과 탄수화물 이야기,기술과학,169
노화역학,기술과학,10
노화학 사전 : 우리 몸에서 일어나는 노화의 모든 것,기술과학,598
누구나 할 수 있는 빈혈의 진단과 치료,기술과학,86
닥터단감의 간이식만화,기술과학,331
닥터풋볼 : 부상은 피하고 컨디션은 올리는 축구 의학·과학 팁,기술과학,364
당뇨병 치료 트렌드 : SGLT2억제제와 DPP4억제제 능숙하게 사용하기,기술과학,85
대한민국 제조의 미래 : 혁신과 전략,기술과학,38
도시를 만드는 법 : 건축과 법이 함께 만드는 좋은 도시,기술과학,787
동북아 불교철학과 마음의 공간 구축론,기술과학,79
드론공학,기술과학,638
디지털 덴티스트리 : 기초부터 임상활용까지 완벽 가이드,기술과학,50
디지털 포렌식 한 권으로 끝내기,기술과학,174
메타버스로 확장하는 메타스쿨 : 우리는 메타스쿨로 등교한다,기술과학,236
면역항암치료의 이해,기술과학,"1,224"
사면안정 설계이론 및 실무해석,기술과학,130
서울 어바니즘,기술과학,727
섬유지식(3),기술과학,438
소아 기분장애 진단 및 치료 임상 핸드북,기술과학,128
술자리보다 재미있는 우리 술 이야기 : 이대형의 전통주 인문학,기술과학,941
쉽고 재미있게 만화로 배우는 피부과학,기술과학,115
식품에 함유된 나노플라스틱과 미세플라스틱 분석,기술과학,115
암 역학 교과서,기술과학,149
암석역학,기술과학,47
"약물나무 : 약물 내비게이션, 나무를 보면 약물이 보인다",기술과학,121
에너지전환과 한국 가스산업의 현재와 미래 : 천연가스 우회직수입 문제에 대한 실증분석,기술과학,59
에어로졸,기술과학,20
예술적 원칙에 따른 도시설계,기술과학,607
유진홍 교수의 감염강의 42강(1-2),기술과학,250
인공지능/연결기반 자율주행차량,기술과학,261
임상치위생학,기술과학,38
자율주행 자동차공학,기술과학,345
자폐증 회복 : 생의학적 치료의 부모 매뉴얼,기술과학,"1,006"
장애아동의 이해,기술과학,"1,125"
전기 및 하이브리드 자동차,기술과학,279
지반사고 조사론,기술과학,101
철근콘크리트 : 강도설계법과 한계상태설계법,기술과학,414
철도안전개론,기술과학,26
최소침습 도침치료,기술과학,311
캐릭터 디자인 수업,기술과학,600
탄소중립 시기의 CCS,기술과학,37
하천변화와 적응,기술과학,28
한국 식품산업의 세계 비전,기술과학,119
현대한의학개론,기술과학,"1,100"
화공인공지능,기술과학,176
환경 전과정평가,기술과학,572
갤러리 사운드,예술,982
금강역사상,예술,266
도시 축제의 아름다움 : 그림으로 읽는 16~19세기 중국과 일본의 도시 축제,예술,54
문화 상징으로서의 인용음악 : 현대음악에 나타난 상호텍스트성 미학,예술,90
배우와 연기를 보는 여섯 개의 시선,예술,32
배우의 말하기 훈련,예술,329
비교의 항해술,예술,347
"생각하는 몸, 발레하는 몸",예술,55
"스탠리 카벨의 오토마티즘 이론의 세 가지 주제 요소들 : 영화, 존재론, 철학 지성",예술,193
스포츠하는 사회,예술,898
우리에게 다가온 러시아 오페라,예술,163
음악학 핵심 개념 · 96,예술,128
중국 무협 블록버스터 영상미 그리고 음악,예술,30
케임브리지 서양음악이론의 역사,예술,238
한국도자제작기술사,예술,226
한국영화사(韓國映畵史),예술,120
한국오페라 5인 5색,예술,10
"한국의 반가사유상 : 세계 최대, 최고의 걸작",예술,207
4·19세대 문학과 자기형성의 서사학,문학,30
RECORD OF THE WORDS AND DEEDS OF YUHANDANG SA-SSI,문학,16
고려시가와 음악,문학,10
괴상하고 무섭고 슬픈 존재들 : 근현대 한국 괴기공포 서사의 흐름,문학,361
